slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
regime_label,baseline_prev_day_direction,choppy,3,0,0.0,,,,,38.29,15.67,16.88
regime_label,baseline_prev_day_direction,trending,1,1,1.0,,,,,55.17,55.17,55.17
regime_label,baseline_random_walk,choppy,4,0,0.0,,,,,24.8,18.26,24.8
regime_label,baseline_simple_technical,choppy,2,0,0.0,,,,,69.48,69.48,28.09
regime_label,baseline_simple_technical,trending,2,2,1.0,,,,,19.86,19.86,19.86
regime_label,ugh,choppy,2,0,0.0,2,1.0,2,1.0,18.29,18.29,18.22
regime_label,ugh,trending,2,2,1.0,1,0.5,2,1.0,31.28,31.28,31.28
volatility_label,baseline_prev_day_direction,high,2,1,0.5,,,,,69.35,69.35,44.75
volatility_label,baseline_prev_day_direction,low,2,0,0.0,,,,,15.67,15.67,8.15
volatility_label,baseline_random_walk,high,1,0,0.0,,,,,58.93,58.93,58.93
volatility_label,baseline_random_walk,low,2,0,0.0,,,,,7.84,7.84,7.84
volatility_label,baseline_random_walk,normal,1,0,0.0,,,,,24.6,24.6,24.6
volatility_label,baseline_simple_technical,high,1,0,0.0,,,,,96.56,96.56,21.3
volatility_label,baseline_simple_technical,low,1,1,1.0,,,,,13.13,13.13,13.13
volatility_label,baseline_simple_technical,normal,2,1,0.5,,,,,34.49,34.49,30.74
volatility_label,ugh,high,1,1,1.0,0,0.0,1,1.0,58.92,58.92,58.92
volatility_label,ugh,low,2,1,0.5,2,1.0,2,1.0,7.79,7.79,7.76
volatility_label,ugh,normal,1,0,0.0,1,1.0,1,1.0,24.65,24.65,24.55
intervention_risk,baseline_prev_day_direction,low,3,0,0.0,,,,,38.29,15.67,16.88
intervention_risk,baseline_prev_day_direction,medium,1,1,1.0,,,,,55.17,55.17,55.17
intervention_risk,baseline_random_walk,low,3,0,0.0,,,,,13.42,11.91,13.42
intervention_risk,baseline_random_walk,medium,1,0,0.0,,,,,58.93,58.93,58.93
intervention_risk,baseline_simple_technical,low,3,2,0.6667,,,,,27.37,26.58,24.87
intervention_risk,baseline_simple_technical,medium,1,0,0.0,,,,,96.56,96.56,21.3
intervention_risk,ugh,low,3,1,0.3333,3,1.0,3,1.0,13.41,11.94,13.36
intervention_risk,ugh,medium,1,1,1.0,0,0.0,1,1.0,58.92,58.92,58.92
